participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic
1,tv_test_1,5,3.56,1,bimodal,big expensive,,test,tv,big,expensive,scalar,first,,,5
1,tv_test_2,5,6.827,1,bimodal,expensive big,,test,tv,big,expensive,scalar,second,,,5
1,tv_test_3,3,2.689,1,bimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,5
1,tv_test_4,4,3.869,1,bimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,5
1,tv_test_5,5,4.272,1,bimodal,big cheap,,test,tv,big,cheap,scalar,first,,,5
1,tv_test_6,5,2.518,1,bimodal,cheap big,,test,tv,big,cheap,scalar,second,,,5
1,tv_test_7,4,5.878,1,bimodal,big discounted,,test,tv,big,discounted,absolute,first,,,5
1,tv_test_8,4,2.394,1,bimodal,discounted big,,test,tv,big,discounted,absolute,second,,,5
1,ch_test_1,5,2.113,1,unimodal,long expensive,,test,couch,long,expensive,scalar,first,,,5
1,ch_test_2,5,2.285,1,unimodal,expensive long,,test,couch,long,expensive,scalar,second,,,5
1,ch_test_3,5,2.106,1,unimodal,leather long,,test,couch,long,leather,absolute,second,,,5
1,ch_test_4,5,1.784,1,unimodal,long leather,,test,couch,long,leather,absolute,first,,,5
1,ch_test_5,5,4.124,1,unimodal,cheap long,,test,couch,long,cheap,scalar,second,,,5
1,ch_test_6,5,2.482,1,unimodal,long cheap,,test,couch,long,cheap,scalar,first,,,5
1,ch_test_7,5,2.639,1,unimodal,discounted long,,test,couch,long,discounted,absolute,second,,,5
1,ch_test_8,4,3.696,1,unimodal,long discounted,,test,couch,long,discounted,absolute,first,,,5
1,tv_filler_1,5,2.413,1,bimodal,,questionable,filler,tv,,,,,,,5
1,tv_filler_2,2,3.918,1,bimodal,,questionable,filler,tv,,,,,,,5
1,tv_filler_3,5,2.84,1,bimodal,,acceptable,filler,tv,,,,,,,5
1,tv_filler_4,5,2.119,1,bimodal,,acceptable,filler,tv,,,,,,,5
1,tv_filler_5,5,1.573,1,bimodal,,acceptable,filler,tv,,,,,,,5
1,tv_filler_6,1,2.638,1,bimodal,,unacceptable,filler,tv,,,,,,,5
1,tv_filler_7,1,2.24,1,bimodal,,unacceptable,filler,tv,,,,,,,5
1,tv_filler_8,5,2.122,1,bimodal,,unacceptable,filler,tv,,,,,,,5
